Time,Node36_UX,Node107_UX
8.96,0.343045338,-0.245935481
8.97,0.342792411,-0.245991054
8.98,0.342527364,-0.246057477
8.99,0.342266685,-0.24611826
9,0.342023022,-0.246160755
9.01,0.341785222,-0.246196122
9.02,0.341520899,-0.246256757
9.03,0.341210108,-0.246362601
9.04,0.340844704,-0.246521791
9.05,0.340405086,-0.246753917
9.06,0.339870037,-0.247080189
9.07,0.33924846,-0.247491696
9.08,0.33857511,-0.247953689
9.09,0.337872354,-0.248443821
9.1,0.33714525,-0.248957057
9.11,0.336412386,-0.249474837
9.12,0.335694388,-0.249976555
9.13,0.33501574,-0.250437759
9.14,0.334407717,-0.250827203
9.15,0.333862303,-0.25115294
9.16,0.333360095,-0.251434404
9.17,0.332904133,-0.251668592
9.18,0.332489874,-0.25186008
9.19,0.332099571,-0.252026651
9.2,0.331708787,-0.25219278
9.21,0.33130825,-0.252367769
9.22,0.330912757,-0.252536857
9.23,0.330522209,-0.252700175
9.24,0.330124275,-0.252870093
9.25,0.329722162,-0.253043441
9.26,0.329321303,-0.253214823
9.27,0.328918696,-0.253387283
9.28,0.328503867,-0.253571332
9.29,0.328075875,-0.253767954
9.3,0.327657146,-0.253954762
9.31,0.327249958,-0.254129523
9.32,0.326837966,-0.254308633
9.33,0.326423256,-0.254490051
9.34,0.326000368,-0.25467928
9.35,0.325556633,-0.25488904
9.36,0.325092395,-0.255119027
9.37,0.324601538,-0.255375402
9.38,0.324086151,-0.255656122
9.39,0.323568478,-0.255938987
9.4,0.323043314,-0.256229257
9.41,0.322489313,-0.256548331
9.42,0.321917811,-0.256884924
9.43,0.321351548,-0.257216345
9.44,0.32080058,-0.257532597
9.45,0.320273171,-0.257825479
9.46,0.319780186,-0.258084185
9.47,0.319317869,-0.258312537
9.48,0.318865781,-0.258531038
9.49,0.318411958,-0.258751711
9.5,0.317944316,-0.258986697
9.51,0.317449981,-0.259248921
9.52,0.316953303,-0.259514085
9.53,0.316492763,-0.259743765
9.54,0.316081432,-0.259924955
9.55,0.315733589,-0.260043448
9.56,0.315461069,-0.260087484
9.57,0.315246184,-0.260074829
9.58,0.315055631,-0.26003887
9.59,0.314865046,-0.260004044
9.6,0.314669748,-0.259975093
9.61,0.314472838,-0.259948973
9.62,0.314276721,-0.259923335
9.63,0.314082824,-0.259896808
9.64,0.313879099,-0.259881499
9.65,0.313646434,-0.259896568
9.66,0.313384572,-0.259942291
9.67,0.313104597,-0.260007596
9.68,0.31281654,-0.260082482
9.69,0.312526476,-0.260160923
9.7,0.312230352,-0.260247026
9.71,0.311915373,-0.260353634
9.72,0.311564998,-0.260497323
9.73,0.311173654,-0.260683691
9.74,0.310755818,-0.260898285
9.75,0.310332416,-0.261120223
9.76,0.309920538,-0.261332478
9.77,0.30954008,-0.261515222
9.78,0.309222173,-0.261637391
9.79,0.308994128,-0.261671751
9.8,0.30885099,-0.26162335
9.81,0.308765316,-0.26151973
9.82,0.308714136,-0.261383965
9.83,0.308686621,-0.261226995
9.84,0.308672412,-0.261059315
9.85,0.308657001,-0.260895649
9.86,0.308639246,-0.260738299
9.87,0.308629232,-0.260577425
9.88,0.30861856,-0.260420093
9.89,0.308583969,-0.260289259
9.9,0.308512875,-0.260197608
9.91,0.308409391,-0.260140978
9.92,0.308299086,-0.260093838
9.93,0.308202605,-0.260035524
9.94,0.308109866,-0.259976141
9.95,0.307999121,-0.259937451
