Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
5.13,4.370257073E-02,4.371633088E-02,-3.551841712E-02,-3.55227387E-02
5.14,4.394152162E-02,4.395592982E-02,-3.543368252E-02,-3.543781987E-02
5.15,4.415083209E-02,4.416569031E-02,-3.537607617E-02,-3.538023697E-02
5.16,4.432195921E-02,4.433704691E-02,-3.535401653E-02,-3.535842774E-02
5.17,4.444516918E-02,4.446025615E-02,-3.53771099E-02,-3.538200419E-02
5.18,4.451913469E-02,4.453397296E-02,-3.544656335E-02,-3.545218803E-02
5.19,4.45606751E-02,4.457507627E-02,-3.554544118E-02,-3.55519807E-02
5.2,4.458468205E-02,4.459860957E-02,-3.565873485E-02,-3.566621876E-02
5.21,4.458826519E-02,4.460172964E-02,-3.578921113E-02,-3.579761892E-02
5.22,4.456400029E-02,4.457694353E-02,-3.594417456E-02,-3.595355246E-02
5.23,4.451561655E-02,4.452795226E-02,-3.611978777E-02,-3.613020863E-02
5.24,4.445028698E-02,4.4461987E-02,-3.630877933E-02,-3.632025611E-02
5.25,4.436910748E-02,4.438017954E-02,-3.650995885E-02,-3.652246672E-02
